Intro: Table 1
							
	sheet	database	link	query	hits	note	
	"See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005] /"	Oprechte Haerlemsche Courant	no 32 for 9 Aug 1674 p 1 	Londen den 3 Augusti	1674	3 Aug 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005	^^^	"Londen den 3 augusti. Brieven met het Schip, laetst van gedacht, [start p 2] van Iamaica gekomen, berichten den geeden toestant, daer 't salve Eylandt in is, hebbende d' Inwoonders van dese mael meer Goedt gesonden, als oyt te vooren, en daer is noch meer Goedt daer gebleven, als herwaerts gebracht is: De Poortland, die nae de Havane gesonden was, beeft [heeft?] aen 't Eylandt Haguania, zijnde een kleyn Eylandt in de Baey van Honduras, een Hollandtse Kaper van 16 Stucken en 200 Ton, genomen: Den Franssen Gouverneur van Tortugas was aen Porto Rico geweest, met 8 of 10 Schepen en 500 Man; maer sonder succes, alsoo de Schepen en Sloepen, die bet [het?] Volck voerde, wesende gevictuailjeert nae de Indiaensse manier, onderwegen gebreck kregen [kragen?], en mosten landen in de cerste Baey van Porto Rico, alwaer 3 of 400 Spangiaerden op haer waeren aengevallen, neermaeckende omtrent 50, soo dat den Gouverneur hem self nauwelijckx konde salveren, keerende weder na Tortugas, 't geen sy nae gie [zie?] tijdt hadden verwoest, uyt vrese voor de Spangiaerden en Capers, zijnde nu onder de Macht van Hispagnola: Sant Domingo was gedestrueest door een Aertbevinge, soo dat anders de Kust van de Franssen nu hadden behooren te suyveren, die in seet [seer?] soberen staet daer zijn, gaende den Gouverneur Oyeron nae Vranckrijck. De Victuailje-Schepen voor de Duytse Vloot, onder 't Convoy van twee Oorlog-schepen, waeren den 30 passato noch niet verder als tot Wey[ill]uyen [Weymuyen?]. [new para] [Londen den 3 augusti para re East India Co] [new para] Londen den 3 Augusti. In Duyns zijn gearriveert twee Schepen komende van Jamaica, twee van Nieuw-Engelandt, 6 a 7 komende van de Barbados, ende 7 Schepen uyt Indien van Suratte en Bombaey, welcke aldaer met de Duytse in actie geweest zijn; sy rapporteren, dat elf Duytse Schepen, uyt Indien komende, op wegzijn."	news received in London of Poortland's seizure of a Dutch privateer of 16 pieces and 200 tn in Haguania island in Hond Bay	
	"See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010899155:mpeg21:a0003] / "	Amsterdamse Courant	no 32 for 9 Aug 1674 p 1 	Londen den 3 Augusti	1674	3 Aug 1674	https://resolver.kb.nl/resolve?urn=ddd:010899155:mpeg21:a0003	^^^	"Londen den 3 Augusti. De Brieven van Iamaica weten niet genoeg te spreken van den voorspoet en goeden toestant van dat Eylant, hebbé [hebben] dese reyse meer goederé [goederen] van haer eygen gewas gesonden, als oyt voor desen, en heeft het Schip van daer gekomen, noch meer Goederen daer gelaten, als herwaerts gebracht heeft. Het Schip de Poortlant, dat na de Havana gesonden was, opwaerts geseylt sijnde tot Aguama, een kleyn Eylantje in de Baey van Honduras, heeft daer een Duyts Schip met 16 Stucken, 200 ton groot, geladen met 100 tonnen Campechi hout gesien. Den Francen Gouverneur van Tortugas was met 8 a 10 Schepen en 500 Man op PortoRico geweest , doch met slecht succes, voornamentlijck voor het Vaertuygh en Sloepen, die het Volck in hadden, welcke op de Indiaensche wijse, dat is, sober gevictualieert, en soo verre door de wint van de andere Schepen af gedreven sijnde, dat de selve niet konden by houden, landen in de eersten Baey te Lywaert, op Porto Rico, al waer heen en weer moeskopten, om levensmiddelen te soecken; maer wierden door 400 Spanjaerden overvallen, die 50 Francen af sneden en capot maeckten, terwijl de rest haer in sodanige confusie op de vlugt begaven, dat den Gouverneur het ter naeuwer noot ontquam, waer na sy weder na Tortugas keerden, dat sy uyt vreese voor de Spanjaerden en de Kapers sedert verlaten, en haer na Hispa- [start p 2] niola geretireert hebben. De Victualy-Schepen na de Duytse Vloot gedestineert, nevens twee van hare Oorlog Schepen, waren den 3 op aflato niet verder, als Weymouth geavanceert."	news received in London that the Poortlant saw Dutch ship of 16 pieces 200 tn with 100 tn logwood in Aguama island in Hond Bay	
	See “Vlissingen den 12 January” in no 3 for 15 Jan 1675 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005] /	Oprechte Haerlemsche Courant	no 3 for 15 Jan 1675 p 2 	Vlissingen den 12 January	1675	12 Jan 1675	https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005	^^^	"Vlissingen den 12 January. Sedert laetst is alhier gearriveert het Schip, genaemt 't Landt van Beloften, Schipper Dirck Tobiasz., komende van Snrinam, geladen mei Suycker; op sijn vertreck lagh aldaer noch in Ladinge 't Schip Bussenburgh, Schipper Jan Marcusz. die in weynigh dagen van meyninge was te volgen: Item is gearriveert het Schip 't Lam, Schipper Pieter Marcusz., komende nu laetst van Portrice, is geladen met Suycker, Taback, Campechi-hout en eenige Huyden."	Lam skipper Pieter Marcusz. from ^^^ to Flushing arrived with logwood	
	"See ""d'Amsterdam le 5. Septembre” in no 36 for 5 Sep 1675 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007]"	Gazette d’Amsterdam	no 36 for 5 Sep 1675 p 4 	d'Amsterdam le 5. Septembre	1675	5 Sep 1675	https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007	^^^	"d'Amsterdam le 5 Septembre [new para] La plupart des Vaisseaux que l'on croyoit perdue sur nos costes, en venant de la mer Baltique son arrivez à bon port, & il n'en manque que six. On mande de Hambourg que Mr. le Comte d'Oxensterne estoit parti de Wismar pour Lubeck avec pasteport de sa Maj. Danoise & de son A. E. de Brandebourg. Nostre flote estoit encore le 29 du passé sur les costes de Flandres. Il est arrivé à Terveer un Vaiss. venant de Surinam. Il est parti de Boisleduc 2 Regimens pour alles à Grave. [new para] Les lettres d'Alemagne disent que Monsr. de Montecuculli a battu aussi Monsr. le Prince de Condé qui a esté contraint de se retirer à Schelstad & que Monsieur le Duc d'Enguien a esté tué ou fait prisonier dans le combat, & que la perte que les François y ont faitte este tres-considerable; nous en aurons les particularitez l'ordinaire prochain. [new para] Le Capitaine Ellertt, qui commande un Vaisseau Anglois du port de 300 tonneaux ou aux environs, freté à la Jamaique, a chargé à la coste de S. Domingo, & à l'Isle de la Tortuë, cuirs, bois de Campéche & Indigo, & est partie de la même Isle vers la fin de Fevrier dernier pour venir à Londres ou à Diepe; & parce que depuis ce temps-là l'on n'a en aucunnes nouvelles dudit Capitain Ellert qui est Anglois de même que son Vaisseau, l'on supplie ceux qui en peuvent avoir quelque avis en Angleterre d'en vouloir faire part à Monsieur Claude Haix Marchand à Londres, & en Hollande à Messieurs Henry, Marchands à Amsterdam."	Capt Ellertt or Ellert on Eng ship of 300 tn loaded logwood at Jamaica or St Domingo or Tortuga and left last February [1675?] for London or Diepe but has not arrived ie seems lost	
	"See “St. Malo den 29 November” in no 50 for 10 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009, https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008] /"	Oprechte Haerlemsche Courant	no 50 for 10 Dec 1676 p 2 	St. Malo den 29 November	1676	29 Nov 1676	https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008	https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009	"St. Malo den 29 November. Alhier zijn dese Weeck opgebragt wel 8 Schepen, daer onder 6 Engelsse, welcke, also behoorlijcke Paspoorten hebben, apparent weder sullen werden vry gegeven; het sevende is een Scheepje komende uyt de Havana, geladen met Campechi-hout, Huyden en Taback; en het achtste is een Schip van Cabo Verde, gemonteert met 16 Stucken, en bemant met 50 Koppen, in hebbende seer veel Huyden."	[Sp?] ship from Havana brought [forcibly?] to St. Malo with logwood	
	See “Duynkercken den 29 November” in no 49 for 3 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005] /	Oprechte Haerlemsche Courant	no 49 for 3 Dec 1676 p 2 	Duynkercken den 29 November	1676	29 Nov 1676	https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005	^^^	"Duynkercken den 29 November. Door de Capers is alhier opgebracht een Nederlands Schip, genaemt de Pellicaen, Schipper Schepmoes, komende uyt de Spaensse West-Indies, geladen met Indigo, Consenielje, Campechi-hout en andere Goederen, men segt oock voor 10 a 12000 Gulden aen Contanteu, die daer in zijn: dan hebben dito Capers noch opgebracht 2 Hollandse Schepen uyt Moscovien komende, waer van het cene sigh seer wel gedefendeert heest. "	Dutch ship Pellicaen skipper Schepmoes from SWI loaded with logwood brought in [seized?] to Dunkirk by capers [?]	
	See “Parijs den 8 September” in no 37 for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004] /	Oprechte Haerlemsche Courant	no 37 for 14 Sep 1679 pp 1-2 	Parijs den 8 September	1679	8 Sep 1679	https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004	^^^	"[Parijs den 8 September para re Fr or Sp royal court news] [start p 2] [prev para continues] [new para] Parijs den 8 September. Men heest tydinge dat Monsr. d'Estrees op den 23 Juny tot Martinique aengekomen is, van waer hy, na eenig verblijf [verblijs?], na seker Eylant in de Honduras was gezeylt, 't welck wel onbewoont was, doch een considetable [considerable?] Post soude zijn tot de Desseynen, die men aldaer voor heeft; en heeft hy verseeckrrt, dat hy voor half October weder tot Martinique soude zijn. Daer werden tegenwoordig 9 Oorlog-schepen tot Brest toegerust, waer van twee 80 en twee andere 60 stucken Canon sullen voeren: Oock wert eenige Equipagie tot Rochefort aengestelt, sonder dat men weet tot wat eynde. Monsr. de Saignelay is na Normandyen, om sijn gementioneerde Huwelijck met Madamoiselle de Matignon te volvoeren; en is den Hertog van Beauvillier alleen met hem gegaen, also Monsr. Colbert, sijn Vader, de Reyse niet heeft konnen doen, en Madame de Colbert is gevaerlijck sieck geworden. [new para]"	"news received in Paris of M. d'Estrees arriving in Martinique on 23 June 1679, sojourning, and sailing to Honduras for an uninhabited island, is expected back at Martinique before mid-October 1679"	
	See “De Paris le 8 Septembre” in no ^^^ for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001]	Gazette d’Amsterdam	no ^^^ for 14 Sep 1679 pp 1-2 	De Paris le 8 Septembre	1679	8 Sep 1679	https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001	^^^	"[De Paris le 8 Septembre para re Sp royal court news] [start p 2] son Maitre, à un des Ministres d'Estat qui n'a pas peu contribué au mariage, de son Pourtrait enrichi de Diamans de la valeur de 12000 écus. L'on a receu avis de la Martinique que Mr. d'Estrez y estoit arrivé le 23 Juin, & en estoit parti quelque temps aprés pour aller, disoit-on, prendre possession d'un Isle inhabitée qu'il y a au Golfe de Honduras, pretendant d'en estre de retour à la Martinique avant le mois d'Octobre. [para continues]"	"news received in Paris of Mr. d'Estrez arriving in Martinique on 23 June 1679, sojourning, and sailing to Honduras to take possession of an uninhabited island, is expected back at Martinique before mid-October 1679"	

Dutb 67: Table 1
	CODE	SERIAL	LINK	DATE	NOTE	EXTRACT	
	"<ul><li><article data-identifier=""ddd:010555045:mpeg21:a0004"" data-metadata=""{&quot;title&quot;:&quot;Franckfoort, den 3. Februarij.&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;15-02-1625&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;830620397&quot;,&quot;objectlevelId&quot;:&quot;ddd:010555045:mpeg21:a0004&quot;}"" data-coll=""ddd"" class=""search-result search-result--first-result search-result--minimal-view"" id=""rowid_1"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=ddd:010555045:mpeg21:a0004&amp;resultsidentifier=ddd:010555045:mpeg21:a0004&amp;rowid=1"" class=""search-result__link""><h2 class=""search-result__heading"">                                Franckfoort, den 3. Februarij.                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22830620397%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2215-02-1625%22%29&amp;coll=ddd"" class=""metadata__details-link"">15-02-1625</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=ddd:010555045:mpeg21:a0004&resultsidentifier=ddd:010555045:mpeg21:a0004&rowid=1	15 Feb 1625	re military in Europe		
	"<li><article data-identifier=""MMKB08:000213342:mpeg21:a0015"" data-metadata=""{&quot;title&quot;:&quot;Met de Serche Krijghs-toeruftinghe in defe&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;01-04-1628&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213342:mpeg21:a0015&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_2"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213342:mpeg21:a0015&amp;resultsidentifier=MMKB08:000213342:mpeg21:a0015&amp;rowid=2"" class=""search-result__link""><h2 class=""search-result__heading"">                                Met de Serche Krijghs-toeruftinghe in defe                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2201-04-1628%22%29&amp;coll=ddd"" class=""metadata__details-link"">01-04-1628</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213342:mpeg21:a0015&resultsidentifier=MMKB08:000213342:mpeg21:a0015&rowid=2	1 Apr 1628	re East India Co		
	"<li><article data-identifier=""MMKB08:000213379:mpeg21:a0009"" data-metadata=""{&quot;title&quot;:&quot;De Jonglijte 25 Brieven van Bruffel abbijferen\/&quot;,&quot;caption&quot;:&quot; &quot;,&quot;volumeRemark&quot;:&quot; &quot;,&quot;seq&quot;:&quot; &quot;,&quot;alternative&quot;:&quot;Courante uyt Italien, Duytslandt, &amp;c.&quot;,&quot;subtitle&quot;:&quot;16-12-1628&quot;,&quot;creator&quot;:null,&quot;ppn&quot;:&quot;400915782&quot;,&quot;objectlevelId&quot;:&quot;MMKB08:000213379:mpeg21:a0009&quot;}"" data-coll=""ddd"" class=""search-result  search-result--minimal-view"" id=""rowid_3"" data-hidden=""yes""><div class=""search-result__metadata search-result__metadata--minimal-view""><div class=""field-title""><a href=""/nl/kranten/view?query=campe%2A+not+campen+not+camper&amp;page=1&amp;maxperpage=50&amp;sortfield=date&amp;cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&amp;coll=ddd&amp;redirect=true&amp;identifier=MMKB08:000213379:mpeg21:a0009&amp;resultsidentifier=MMKB08:000213379:mpeg21:a0009&amp;rowid=3"" class=""search-result__link""><h2 class=""search-result__heading"">                                De Jonglijte 25 Brieven van Bruffel abbijferen/                            </h2>    </a></div><div class=""field-papertitle search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28ppn+exact+%22400915782%22%29&amp;coll=ddd"" class=""metadata__details-link"">Courante uyt Italien, Duytslandt, &amp;c.</a></div><div class=""field-date search-result__metadata--minimal-view-description""><a href=""/nl/kranten/results?cql%5B%5D=%28date+%3D+%2216-12-1628%22%29&amp;coll=ddd"" class=""metadata__details-link"">16-12-1628</a></div><div class=""search-result__metadata--minimal-view-description""></div><div class=""search-result__metadata--minimal-view-description""></div></div></article></li>"	"Courante uyt Italien, Duytslandt, &c."	https://www.delpher.nl/nl/kranten/view?query=campe%2A+not+campen+not+camper&page=1&maxperpage=50&sortfield=date&cql%5B%5D=%28date+_lte_+%2231-12-1669%22%29&coll=ddd&redirect=true&identifier=MMKB08:000213379:mpeg21:a0009&resultsidentifier=MMKB08:000213379:mpeg21:a0009&rowid=3	16 Dec 1628	"re two yachts [Oudt-Vlissinghen, Tijgher] brought to Bergen op Zoom a [seized Sp?] ship with 80 loads logwood and braziletto"	"Wt Berghen op den Zoom den 11.Decemb. [new para] [vars para] [new para] Den Viador van Spaengien heeft met eenige personen getracteert/om Spaengien ende d'Havana van Masten/Touwerck eñ andere scheepssaken te versien/'twelck van Lubeck, Hamburgh ende Gottenburgh aldaer soude ghebracht worden. De twee Jachten / als Oudt-Vlissinghen ende den Tijgher , hebben een Schip groot 150[ill] Lasten/ in hebbende 80. Lasten Campesche ende Brasilet-hout/ 6000. Huyden/ 2. kassen Silver[ill] eenighe Pijpen met Zuycker ende andere Wa[ill]ren/ die gheestimeert worden tusschen de 4. ende 5. Tonnen Gouts / verovert / ende worden all[ill] daghen van Bristo daerse ingheloopen zijn / ver[ill] wacht."	
